"case","year","difficulty","discrimination"
"20_1499",20,0.482950941341653,-0.457902622801478
"22_720",22,0.446116759066288,-1.65352794685434
"22_1160",22,0.417881686610358,-1.18528963298792
"18_1475",18,-0.474577888800773,-0.487594761054791
"21_1168",21,-0.399049475594996,2.19588360299033
"24_530",24,0.710268189529058,-1.72509231494325
"22_665",22,0.450688417181696,-0.790071022182311
"23_1127",23,0.246072957976048,-1.44916231377959
"19_825",19,-0.110220764619778,1.00059725756208
"20_1114",20,0.555024932799725,0.102107063417649
"19_221",19,0.280410315432486,-1.56087905176446
"19_267",19,-0.166668775049983,-6.09073265350885
"23_1155",23,0.780969977175119,-0.979186035264332
"19_438",19,0.52167326628907,1.30803880930392
"24_5381",24,0.44931400604033,-2.10024966100394
"21_1263",21,0.529290276232228,-1.35814784591068
"18_1062",18,0.420891819446686,-1.97340263418716
"20_334",20,0.381815303293669,1.31868055378178
"19_402",19,0.384772585238235,-1.754729832987
"20_804",20,-0.0858932655710287,0.663432566180574
"22_23",22,0.540335021047238,0.660581310165695
"18_107",18,-0.815343353040864,-2.8893167456011
"20_1214",20,0.197838018602765,-1.59873570365634
"21_248",21,0.408318688492976,-1.2024865586555
"19_7",19,-0.44093757816567,-2.66033720746066
"21_86",21,0.521890634452886,-1.50543242347223
"21_588",21,-0.14625422307979,1.5044616502195
"20_222",20,0.191681374781494,-2.16417823393986
"19_333",19,0.501552016495948,-2.12101905683007
"20_1530",20,-0.399102522494719,-3.8874806008772
"18_1501",18,0.0320169489199162,-2.22877448825125
"18_1496",18,-0.482169833062459,-0.494488243841241
"18_1516",18,0.475913523789515,-1.955108197985
"21_418",21,0.0359754309755694,-5.57944025570991
"18_324",18,0.284246094913784,-1.69868932295394
"21_1463",21,0.399329599081554,-1.70792280349178
"21_432",21,0.667638721819622,0.939235296728202
"23_726",23,-0.402431203981998,-6.26733668650687
"19_348",19,-0.182475720613174,-6.05168519774535
"19_899",19,0.405912582369834,-1.14074976082316
"22_815",22,0.497519288383044,-0.0924996032078399
"19_988",19,0.249797302596532,-1.58490805325363
"21_5592",21,0.380410628644549,-2.36004494571506
"18_1323",18,0.764634472959363,5.62842258160975
"23_941",23,0.448274486793579,-1.36643291907861
"20_603",20,0.491510842927384,0.478102903659876
"21_1271",21,-0.507460977360537,-3.89803490774324
"19_963",19,-0.0789681983300503,-1.64965012782296
"23_5572",23,0.24951256972138,-1.72475428686044
"19_675",19,0.668718710000187,-1.61944647577365
"20_1158",20,0.65165218269352,-1.90803621470033
"21_1019",21,0.566530479307029,-1.61593621890695
"19_66",19,0.459337176776611,-1.72335777586415
"18_843",18,0.516326370864332,-1.59169518432848
"20_426",20,0.381141664723408,-1.67467087974746
"24_57",24,0.558728573325276,-2.21284725302328
"21_468",21,0.250959399946379,-2.8126572747602
"19_1452",19,0.231675725872288,1.11194787680472
"22_1222",22,0.490696148877798,-1.93784527389922
"22_277",22,-0.98986080405832,-0.713085797706123
"21_783",21,0.50712398419953,-0.0445274199954271
"22_555",22,0.277279526482582,-0.525342143550703
"19_1184",19,0.357833005379886,-1.64607066260475
"20_1598",20,0.410295180910215,-1.178071593061
"24_427",24,0.443506628037724,-0.976004278922513
"22_388",22,0.321360925062256,-1.6686357356549
"20_103",20,0.407500575053099,-1.6654937210849
"19_1269",19,0.50793423652819,0.0250828122898824
"19_404",19,0.898053597192918,-1.9204707211905
"19_5410",19,0.652320465648858,0.314492255146375
"24_394",24,0.403652135594483,-1.64847413526337
"23_1122",23,0.201269638237781,1.28854475624272
"23_236",23,0.232956838065161,6.18146650295143
"24_437",24,0.875131375094167,-2.93678213101944
"18_260",18,0.466683419945066,-2.2982385792796
"21_1194",21,0.58367847752996,-2.16001159726923
"19_760",19,-0.0958974166631468,-2.18102816893874
"19_1212",19,-1.34938586264556,-1.94476108660102
"20_38",20,-1.01844821698517,-3.29769379903942
"19_1019",19,-0.439200611365294,-1.79643002942125
"20_315",20,0.527321221231141,1.94660916048575
"19_756",19,0.570059058689929,0.00251307014011248
"20_1800",20,0.364941663070278,-3.2433244054714
"19_1392",19,-0.518248661148474,-6.94804018442578
"18_1437",18,0.387154123897618,-1.20685872311808
"22_585",22,0.611812204132798,-1.39621244343404
"22_660",22,0.11711806643654,2.04099582070614
"24_20",24,0.628616388143613,-1.21416187378589
"20_1786",20,0.288925568100037,-1.65344085159837
"21_476",21,-0.187935307717095,-5.79070461709319
"24_435",24,0.514937067365328,-1.68774460630236
"20_902",20,0.362130503799236,-1.35858720762688
"18_877",18,0.147885632862796,-1.00800032637831
"23_1197",23,0.63885662099882,-1.07783347404133
"21_1086",21,-0.00974078704198881,-3.43117285532643
